Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Philippines,18349828,21132000,24336000,28026000,32391000,37253000,42406000,48290000,54589000,61481000,68472000,76452000,84965000,93137000,100999000,109181000
Poland,22639897,24825000,27221000,29590000,31263000,32527000,33970000,35579000,37226000,38120000,38601000,38655000,38557000,38617000,38563000,38283000
Portugal,8200190,8443000,8693000,9037000,9129000,9045000,9412000,9778000,9898000,9923000,10066000,10336000,10567000,10736000,10826000,10843000
Puerto Rico,2187455,2219000,2251000,2359000,2597000,2722000,2936000,3210000,3383000,3537000,3684000,3811000,3822000,3722000,3599000,3520000
Qatar,18778,26000,36000,46000,71000,113000,165000,230000,343000,434000,510000,640000,973000,1720000,2195000,2445000
Republic of the Congo,756559,827000,904000,1003000,1124000,1273000,1456000,1676000,1927000,2221000,2570000,2940000,3473000,4238000,4756000,5294000
Romania,15357344,16312000,17326000,18404000,19028000,20253000,21246000,22131000,22522000,22866000,22688000,22448000,22198000,21960000,21667000,21303000
Russia,93507838,101937000,111126000,119632000,126542000,130246000,134294000,139039000,143938000,147973000,148759000,147054000,143320000,142527000,142424000,145723000
Rwanda,2205854,2440000,2699000,3032000,3265000,3770000,4357000,5140000,5987000,7000000,5473000,8399000,9612000,11056000,12662000,14328000
Saint Barthélemy,3000,3000,3000,3000,3000,3000,3000,3000,4000,6000,7000,8000,8000,8000,8000,8000
"Saint Helena, Ascension and Tristan da Cunha",6000,6000,6000,6000,6000,6000,7000,7000,8000,7000,7000,8000,8000,8000,8000,8000
Saint Kitts and Nevis,40500,45000,50000,52000,49000,47000,45000,44000,43000,42000,44000,46000,48000,50000,52000,54000
Saint Lucia,74419,80000,86000,88000,95000,103000,113000,123000,132000,138000,147000,154000,158000,161000,164000,167000
Saint Martin,2250,3000,4000,5000,5000,6000,7000,8000,16000,31000,33000,29000,28000,31000,32000,33000
Saint Pierre and Miquelon,5000,5000,5000,5000,6000,6000,6000,6000,7000,7000,7000,7000,7000,6000,6000,6000
Saint Vincent and the Grenadines,59066,67000,76000,82000,86000,88000,93000,99000,104000,108000,109000,108000,107000,105000,103000,102000
Samoa,71532,82000,94000,111000,128000,143000,151000,160000,161000,163000,169000,177000,185000,193000,198000,204000
San Marino,12071,13000,14000,16000,18000,20000,20000,22000,23000,24000,25000,28000,30000,32000,34000,35000
São Tomé and Príncipe,59016,60000,61000,64000,69000,74000,82000,95000,105000,116000,128000,141000,158000,176000,195000,212000
Saudi Arabia,3510745,3860000,4244000,4719000,5328000,6110000,7208000,10022000,13331000,16061000,18756000,21312000,23643000,25732000,27753000,29819000
Senegal,2406463,2654000,2927000,3270000,3744000,4318000,4990000,5612000,6379000,7348000,8379000,9470000,10805000,12324000,13976000,15737000
Republic of Serbia,5620185,5957000,6314000,6659000,6959000,7249000,7432000,7588000,7720000,7787000,7692000,7605000,7503000,7345000,7177000,7013000
Seychelles,30250,33000,36000,42000,48000,55000,60000,64000,68000,71000,75000,80000,84000,89000,93000,96000
Sierra Leone,1952416,2088000,2233000,2397000,2582000,2790000,3031000,3336000,3704000,4229000,3882000,3810000,4709000,5246000,5880000,6625000
Singapore,801324,1023000,1306000,1647000,1887000,2075000,2263000,2414000,2750000,3048000,3567000,4064000,4606000,5141000,5675000,6210000
Sint Maarten,3000,3000,3000,3000,5000,7000,11000,13000,20000,30000,32000,31000,34000,38000,41000,44000
Slovakia,3219559,3464000,3727000,3995000,4370000,4524000,4730000,4966000,5145000,5263000,5362000,5401000,5408000,5427000,5446000,5441000
Slovenia,1419647,1468000,1518000,1558000,1621000,1676000,1723000,1834000,1915000,1992000,2003000,2011000,2012000,2004000,1984000,1952000
Solomon Islands,99557,107000,115000,127000,144000,164000,194000,231000,273000,322000,376000,434000,496000,560000,623000,686000
Somalia,2222829,2438000,2674000,2956000,3283000,3667000,4128000,5794000,6459000,6693000,6401000,7501000,8791000,9768000,10617000,11758000
South Africa,12027537,13596000,15369000,17417000,19899000,22740000,25816000,29252000,34255000,38504000,42148000,44914000,48105000,51123000,53676000,56464000
South Korea,20163127,20846000,21552000,24785000,28706000,32242000,35282000,38125000,40807000,42870000,45106000,46839000,48006000,48637000,49116000,49362000
